Country Name,Country Code,co2,Income per capita
Afganistán,AFG,8463.436,1581.60083598967
Angola,AGO,29057.308,5775.864013056
Albania,ALB,4598.418,9637.3453676511
Emiratos Árabes Unidos,ARE,160812.618,56415.0740513142
Argentina,ARG,187919.082,18333.5436985461
Armenia,ARM,4217.05,6567.25858179835
Antigua y Barbuda,ATG,524.381,18824.073146248
Australia,AUS,390861.863,39227.2685360072
Austria,AUT,67502.136,42047.0326758635
Azerbaiyán,AZE,30678.122,15627.6056198817
Burundi,BDI,212.686,748.380657602419
Bélgica,BEL,110824.074,40091.0099912907
Benin,BEN,5089.796,1781.98706633659
Burkina Faso,BFA,1961.845,1394.58472667042
Bangladesh,BGD,59937.115,2393.31583163503
Bulgaria,BGR,44114.01,14948.5895706348
Bahrein,BHR,29266.327,39749.8493845143
Bahamas,BHS,1653.817,22431.9299506066
Bosnia y Herzegovina,BIH,21275.934,9314.88603110754
Belarús,BLR,63043.064,15906.7561959696
Belice,BLZ,539.049,7715.95031849724
Bermudas,BMU,608.722,55254.2141192067
Bolivia,BOL,15203.382,5298.08451219437
Brasil,BRA,419754.156,14244.9787898614
Barbados,BRB,1477.801,16124.9948326257
Brunei Darussalam,BRN,8203.079,78923.3904740313
Bhután,BTN,487.711,6289.81436412947
Botswana,BWA,4686.426,13064.4662387584
República Centroafricana,CAF,264.024,870.044080916885
Canadá,CAN,534670.602,40027.2402088674
Suiza,CHE,38994.878,53119.3865285819
Chile,CHL,72250.901,18265.3425272305
China,CHN,8776040.416,9333.12423690653
Côte d'Ivoire,CIV,6967.3,2635.83777138699
Camerún,CMR,6780.283,2870.56268713564
"Congo, República Democrática del",COD,2020.517,597.076987349427
"Congo, República del",COG,1980.18,5081.43214469695
Colombia,COL,76174.591,10680.0030066548
Comoras,COM,161.348,1383.9296940583
Cabo Verde,CPV,557.384,5710.34425217671
Costa Rica,CRI,7568.688,12737.0201761635
Chipre,CYP,7708.034,33263.0158296105
República Checa,CZE,111579.476,27694.4019837579
Alemania,DEU,758859.981,39225.5999941663
Djibouti,DJI,517.047,2581.41660981976
Dominica,DMA,139.346,9991.9764264162
Dinamarca,DNK,46640.573,43041.5420245418
República Dominicana,DOM,21022.911,10898.5171855406
Argelia,DZA,119177.5,12610.2480535971
Ecuador,ECU,36460.981,9163.15913647781
"Egipto, República Árabe de",EGY,202715.427,9658.06521473712
Eritrea,ERI,513.38,1387.71466344319
España,ESP,270910.626,31954.2427536427
Estonia,EST,18107.646,21602.7407439834
Etiopía,ETH,6585.932,1052.10426150867
Finlandia,FIN,62082.31,38775.1748566366
Fiji,FJI,1221.111,7203.36569339968
Francia,FRA,353033.091,35992.5139092599
Micronesia (Estados Federados de),FSM,113.677,3230.94985546081
Gabón,GAB,4811.104,15045.1665571067
Reino Unido,GBR,493207.833,35875.456276784
Georgia,GEO,6314.574,6597.56854892246
Ghana,GHA,9955.905,2997.5259544255
Guinea,GIN,2603.57,1543.51448652397
Gambia,GMB,432.706,1610.96812658153
Guinea-Bissau,GNB,238.355,1372.0353014013
Guinea Ecuatorial,GNQ,4679.092,33041.1883529952
Grecia,GRC,83856.956,28175.8555167678
Granada,GRD,260.357,10951.8841081545
Guatemala,GTM,11664.727,6578.24729507297
Guyana,GUY,1719.823,5729.56312108395
"Hong Kong, Región Administrativa Especial",HKG,40678.031,47134.5689688841
Honduras,HND,7975.725,3890.85140670074
Croacia,HRV,20172.167,19186.9629247037
Haití,HTI,2126.86,1471.64864918954
Hungría,HUN,50223.232,21555.8591129762
Indonesia,IDN,428760.308,8262.89926894218
Sólo AIF,IDX,305862.39432,2191.69166008887
India,IND,1719690.988,4315.59602443741
Irlanda,IRL,40054.641,43298.6941393342
"Irán, República Islámica del",IRN,573031.089,17579.8739367271
Iraq,IRQ,112195.532,12460.3379670716
Islandia,ISL,1961.845,38535.3270617591
Israel,ISR,68880.928,28828.321525657
Italia,ITA,405361.181,35042.1953701135
Jamaica,JAM,7297.33,7834.27097755
Jordania,JOR,21180.592,9281.1472117003
Japón,JPN,1171624.835,35000.3212093644
Kazajstán,KAZ,248549.26,19690.3849700739
Kenya,KEN,12174.44,2425.76061730584
Kirguistán,KGZ,6384.247,2733.72933718566
Camboya,KHM,5012.789,2471.89147442893
Kiribati,KIR,62.339,1696.51197430927
Saint Kitts y Nevis,KNA,220.02,20979.0619772943
"Corea, República de",KOR,566716.515,30376.8718192526
Kuwait,KWT,89625.147,73682.8683779231
República Democrática Popular Lao,LAO,1639.149,4133.44186803902
Líbano,LBN,20047.489,16118.9632902425
Liberia,LBR,792.072,685.500686062562
Libia,LBY,61961.299,29030.8433822135
Santa Lucía,LCA,403.37,11559.7598153608
Países de ingreso bajo,LIC,148332.681171405,1338.68975631713
Sri Lanka,LKA,13263.539,8357.02874971072
Lesotho,LSO,2277.207,2317.82892840665
Lituania,LTU,13468.891,20110.3389687171
Luxemburgo,LUX,10967.997,85696.9959142608
Letonia,LVA,8074.734,17575.7296974062
"Región Administrativa Especial de Macao, China",MAC,1408.128,96198.2430262099
Marruecos,MAR,55958.42,6312.91542734005
República de Moldova,MDA,4932.115,3831.74918707843
Madagascar,MDG,1958.178,1357.65456267808
Maldivas,MDV,935.085,11762.6497028146
México,MEX,464308.206,14764.8100317733
Islas Marshall,MHL,102.676,3408.7767621021
Ex República Yugoslava de Macedonia,MKD,8602.782,11284.8091808515
Malí,MLI,964.421,1834.11705927596
Malta,MLT,2559.566,27836.0614693726
Myanmar,MMR,12515.471,3645.93643504092
Montenegro,MNE,2581.568,13648.2327477192
Mongolia,MNG,13820.923,7552.66558598877
Mozambique,MOZ,2735.582,899.198728120615
Mauritania,MRT,2236.87,3249.87692872441
Mauricio,MUS,3916.356,15616.0068425246
Malawi,MWI,1144.104,1012.06745790371
Malasia,MYS,218476.193,20680.2968483512
Namibia,NAM,3102.282,8289.69602705332
Níger,NER,1173.44,797.511741535431
Nigeria,NGA,91517.319,5045.9781670335
Nicaragua,NIC,4536.079,3947.21676586778
Países Bajos,NLD,183052.973,44542.8365494046
Noruega,NOR,60105.797,58022.0334869801
Nepal,NPL,5056.793,1945.80668141075
Nauru,NRU,44.004,6459.08087785322
Nueva Zelandia,NZL,31781.889,31265.1236928725
Omán,OMN,47417.977,44417.7679928745
Pakistán,PAK,161395.671,4196.95580923862
Panamá,PAN,9163.833,15107.4294780668
Perú,PER,57593.902,9755.14914796834
Filipinas,PHL,84869.048,5483.62094378612
Palau,PLW,253.023,12160.8877434541
Papua Nueva Guinea,PNG,4763.433,3127.01787926792
Polonia,POL,316264.082,21068.8512314571
Portugal,PRT,48136.709,27334.811603201
Paraguay,PRY,5097.13,7142.05703875154
Ribera Occidental y Gaza,PSE,2035.185,4088.33676543011
Estados pequeos de las Islas del Pacfico,PSS,2427.554,4663.30329158672
Qatar,QAT,72507.591,122609.410776499
Rumania,ROU,79412.552,17164.0215746472
Federación de Rusia,RUS,1670531.186,20497.934076089
Rwanda,RWA,590.387,1325.78162054261
Arabia Saudita,SAU,518491.798,44502.4193074312
Sudán,SDN,15940.449,3298.00474917495
Senegal,SEN,7744.704,2139.81582613702
Singapur,SGP,55643.058,70646.8202648274
Islas Salomón,SLB,198.018,1746.76515681922
Sierra Leona,SLE,726.066,1192.59655886196
El Salvador,SLV,6457.587,7152.20492482057
Serbia,SRB,45954.844,12087.1010470258
Pequeños Estados,SST,239773.08668122,18432.9971775302
Santo Tomé y Príncipe,STP,99.009,2588.07974333705
Suriname,SUR,2401.885,13924.390720947
República Eslovaca,SVK,36240.961,24986.6128088286
Eslovenia,SVN,15335.394,27766.4203840775
Suecia,SWE,52023.729,41627.9737254356
Swazilandia,SWZ,1037.761,7148.9127033737
Seychelles,SYC,443.707,19953.1605009972
Chad,TCD,517.047,1886.25106054051
Togo,TGO,2640.24,1183.83933770636
Tailandia,THA,281926.294,13213.747749553
Tayikistán,TJK,2544.898,2063.73041090242
Turkmenistán,TKM,57289.541,9741.30529127428
Timor-Leste,TLS,234.688,1667.79888214038
Tonga,TON,117.344,4883.37022651885
Trinidad y Tobago,TTO,47935.024,30628.5417613587
Túnez,TUN,27660.181,10225.2522337184
Turquía,TUR,298002.422,17442.8599464888
Tuvalu,TUV,7.334,2945.71868217362
Tanzanía,TZA,7106.646,2048.29359256743
Uganda,UGA,3920.023,1485.20267891388
Ucrania,UKR,304643.359,7666.2195766859
Uruguay,URY,6387.914,16736.8510315505
Estados Unidos,USA,5395532.125,48373.8788155779
Uzbekistán,UZB,104168.469,4153.93884603207
San Vicente y las Granadinas,VCT,220.02,9714.99907953801
Venezuela,VEN,189070.52,16210.2899564076
Viet Nam,VNM,142737.975,4318.99740521312
Vanuatu,VUT,121.011,2888.39827319918
Samoa,WSM,187.017,5290.66066310442
"Yemen, Rep. del",YEM,23432.13,4388.14484651907
Sudáfrica,ZAF,474099.096,11647.3274208324
Zambia,ZMB,2691.578,3212.94188088675
Zimbabwe,ZWE,7777.707,1445.04239513756
